,A,AAL,AAP,AAPL,ABC,ABMD,ABT,ACGL,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,AMAT,AMD,AME,AMGN,AMP,AMT,AMZN,ANSS,AON,AOS,APA,APD,APH,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBY,BDX,BEN,BIIB,BIO,BK,BLK,BMY,BR,BRO,BSX,BWA,BXP,C,CAG,CAH,CAT,CB,CCI,CCL,CDNS,CE,CF,CHD,CHRW,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COO,COP,COST,CPB,CPRT,CPT,CRL,CRM,CSCO,CSGP,CSX,CTAS,CTSH,CVS,CVX,D,DAL,DD,DE,DFS,DG,DGX,DHI,DHR,DIS,DISH,DLR,DLTR,DOV,DOW,DPZ,DRI,DTE,DUK,DVA,DVN,DXCM,EA,EBAY,ECL,ED,EFX,EIX,EL,EMN,EMR,EOG,EQIX,EQR,EQT,ES,ESS,ETN,ETR,EW,EXC,EXPD,EXPE,EXR,F,FAST,FCX,FDS,FDX,FE,FFIV,FIS,FISV,FITB,FMC,FOX,FOXA,FRT,FTNT,GD,GE,GILD,GIS,GLW,GOOGL,GPC,GPN,GRMN,GS,GWW,HAL,HAS,HBAN,HD,HES,HIG,HOLX,HON,HPQ,HRL,HSIC,HST,HSY,HUM,IBM,ICE,IDXX,IEX,IFF,ILMN,INCY,INTC,INTU,IP,IPG,IR,IRM,ISRG,IT,ITW,IVZ,JBHT,JCI,JKHY,JNJ,JNPR,JPM,K,KEY,KIM,KLAC,KMB,KMX,KO,KR,L,LDOS,LEN,LH,LKQ,LLY,LMT,LNC,LNT,LOW,LRCX,LUV,LVS,LYV,MA,MAA,MAR,MAS,MCD,MCHP,MCK,MCO,MDLZ,MDT,MET,MGM,MHK,MKC,MKTX,MLM,MMC,MMM,MNST,MO,MOH,MOS,MPWR,MRK,MRO,MS,MSCI,MSFT,MSI,MTB,MTD,MU,NDAQ,NDSN,NEE,NEM,NFLX,NI,NKE,NOC,NRG,NSC,NTAP,NTRS,NUE,NVDA,NVR,NWL,O,ODFL,OKE,OMC,ORCL,ORLY,OXY,PAYX,PCAR,PCG,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKG,PKI,PLD,PM,PNC,PNR,PNW,POOL,PPG,PPL,PRU,PSA,PWR,PXD,QCOM,RCL,RE,REG,REGN,RF,RHI,RJF,RL,RMD,ROK,ROL,ROP,ROST,RSG,SBAC,SBNY,SBUX,SCHW,SEE,SHW,SIVB,SJM,SLB,SNA,SNPS,SO,SPG,SRE,STE,STT,STX,STZ,SWK,SWKS,SYK,SYY,T,TAP,TDG,TDY,TECH,TEL,TER,TFX,TGT,TJX,TMO,TMUS,TRMB,TROW,TRV,TSCO,TSN,TTWO,TXN,TXT,TYL,UAL,UDR,UHS,ULTA,UNH,UNP,UPS,URI,USB,V,VFC,VLO,VMC,VNO,VRSK,VRSN,VRTX,VTR,VZ,WAB,WAT,WBA,WDC,WEC,WFC,WHR,WM,WMB,WMT,WRB,WST,WTW,WY,WYNN,XEL,XOM,XRAY,YUM,ZBH,ZBRA,ZION
const,,,,,,,,0.00043496902485728073,,,,,,,,,,,,,,,,,0.000830224266847581,,,,,,,,,,,,,,,,,,,0.0009322657044839663,,0.0005078326181169454,,0.000695942900237997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005195159198522572,,,,,,,,,,,,,,,,,,,0.0013718190085236339,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000721083399895238,,,,,,,,,0.00040466956845084973,,,,,,,,,,,,,,,,,,,,,0.0005584405568130191,,,,,,0.0005649002701533427,,,0.000521314529011514,,,,,,,,,,,,,,,,0.0005810967242254874,,,,,0.00037541933671568744,,,,,,,,,,,0.0005559634985471615,,,,,,,0.0005206100117857043,,,,,,,,,,,,,,,,,,,,,,0.0010316584402933417,,,,,0.0006562401163202451,,,,,,,,,,,,,,,,,0.001657608454920589,0.0005560751613613029,,0.0005552120916043064,,,,,,,,,,0.00070078888292705,,,,0.0007978448266435292,,,,,,,,,,,,,,,,,,,,0.0005702978658387544,,,,,,,,,,,0.0012760546577032074,,,,,,,,,0.0007759045083708119,,,,,,,,,,,,,,,,,,,0.0009770824500479952,,,,,,,0.0007739507525487954,,,,,,,0.0005324277314073006,,,,,,,0.0008794697919472631,,,,0.0007459085130179478,,,,0.0012086589433239665,0.0005793808384250429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,1.4456351870894788,1.6919149490789915,0.8101052695877478,0.9800813120472425,0.7614486791099588,1.2861352832413686,0.7787583064594806,0.6654562859352873,1.0023528403591841,1.1775917494464039,1.1701794279267683,0.9919336733280134,0.9313308922823558,1.4767564980764978,0.6850591754395219,0.6080605293312716,1.1323376074693448,1.32519941138282,1.4359908359180524,1.0091350626827114,0.8278766963406563,1.3482958751098095,1.309424350987059,1.3587126574298551,1.3846477449061245,0.9883536385553334,1.2444468536252886,1.5710342567319597,1.1681774226091282,0.9703956693260307,1.5713397027770428,0.8308217010695876,1.139067572221746,1.0499107202012175,0.9298403361780413,1.263597685730102,1.0698218304935945,1.0071484770482297,1.2115499368872098,1.0085288891857387,0.7356640749241132,0.9047509245209667,0.8909828716416363,1.3249448092576672,1.167751866016312,0.6076743146028982,1.1655348943621913,0.597846515217439,1.1301576272454978,1.6532536065363073,0.7831452923633277,1.0278419875903249,0.7691647101242423,1.4281845141104954,1.0679640815455071,0.85583775116266,1.3055350226415374,1.381963112133157,0.7423339923630339,0.8776535076065886,0.8396638294813845,1.1006272561391472,1.4293162683488938,1.0277435310222571,1.6660585710852789,0.6014080686878654,0.9273906526496634,1.213734331971433,0.8734241414474797,0.7905777984439056,1.3092296888079429,1.1193356207623726,1.5504010296394737,1.0697340866277174,0.6273512828996641,0.8676971419594891,1.015789011340151,1.0185286961474092,0.6221279185764836,0.5351184213712861,1.3195098745810387,1.0024013199338375,1.0580777006852236,0.8891365830277813,1.4654684817553936,0.648033220988047,1.1353283230994546,0.7523078869153893,1.3100536552646114,0.8771321664933679,0.8772444967356294,0.704866848229053,0.5462362689125989,0.8585928622885866,0.9456455014657815,1.0205102320771657,1.3547795866717331,1.0369521267599455,1.1924690804194453,1.211080307697077,1.0049347805850024,1.2571263994214281,0.8456650426296553,0.8867125383324759,0.5958702822352109,1.4918721672564432,1.0740030948796595,1.0371888426621885,1.2632802025493604,0.6171740860799487,0.7748940386899232,1.3873677312869668,1.079297063533902,1.076474067178022,1.0613241888936706,0.8051114857536992,0.6895058911144185,1.1827024628009581,1.3959781854808309,0.9949264680232,0.8771501230090522,0.6581443343802784,0.49235850365912864,0.7649207264721867,1.03132909213765,1.3648496512657289,1.197225449061965,1.1738935646627204,0.8911930589519327,0.4709040312848608,1.0105769662685815,0.6145579922865082,0.9815512963293327,1.2977141599526556,1.133457579633363,1.1247267082742582,1.112750601358461,0.9757629480951229,1.0007799844337781,0.6565184722026258,0.8927765696314497,1.3219871634013263,0.6155051685054567,0.9156023141675487,0.5913922073085163,1.072881580380309,1.1958776562572364,1.0387970756401952,1.2902210489592854,1.1047947643478144,1.4515909101209588,0.9973484137660178,1.1682863750881718,0.6158346732931861,1.330506344196787,0.9828881368886889,0.9992879127842681,1.468569220690103,1.1406371332945806,1.2373260820591336,1.2865246254748146,0.8428365501142667,1.1422171517728643,1.009457556937058,1.097764678226238,0.9947595353865124,0.5383416622996522,1.2367532815172952,1.0107874533083692,0.9870742109985579,1.0328202682376952,0.9034595837163698,1.2782089899448728,0.9424077183029427,1.2651566893668158,0.8322209505056395,1.4552090925850711,0.9556948443005489,1.1654442028488248,1.6705638983776978,1.0895472822394956,1.1997611936682837,1.1170302676561934,0.6780094398406886,0.9512912716662065,1.4747074281813906,0.5535984994982074,0.835163931812305,0.8186629941464332,1.0284106584552424,0.9632999205900079,1.1715505015397563,0.9916435709085442,1.2138318783456024,1.5376649938265312,1.0196270383098878,1.0627239367171732,1.3508768678778886,1.3858002944039112,1.2847658986280788,0.9097718675130206,0.956211164633589,0.9840555399906875,1.1098558500683537,1.7261966673742593,0.9709431646828122,0.9758111846999609,1.0002969311140881,0.6586488694825221,1.2288089305137704,1.3834123587498306,0.5175241138746812,1.4542264560889326,1.1880285186172173,1.2304372747892887,0.5648993798338735,1.2123952960549302,0.6197679557851344,0.6677799679534877,0.9509199434655384,0.9322613741219712,1.4948861636401845,0.7673693297717813,1.1586702792599455,0.7007083460965108,0.7517346384776865,1.801194175325293,0.7009159174933459,1.0067702825813942,1.3384297583433455,1.2183538976041732,1.4462210323892313,1.3674893290875993,1.1823947491140414,0.8504085074543305,1.309601965646175,1.6048743896727955,0.6080638274410702,1.1032197601770837,0.8754083441205902,1.3258406965665546,0.739301378665725,0.9519559686751584,1.5387266359160536,1.7108262954995501,1.4217506101625674,0.6815740516485077,1.1257456293782746,1.1184701072590228,0.9753245599127714,0.9675955995699208,0.859220397372723,0.6041994306735993,1.21013226654224,1.1351522009487498,1.314959537712789,0.8097727189295276,1.0932147266814818,1.7250013010668628,1.1768114399374112,1.0133607367092927,0.8814458250834006,1.1274365612782176,1.1682385418708712,1.7759324560320116,1.1926034118594981,1.3505408622453432,0.6250207644165866,0.3945158288576716,1.0996520758811927,0.7550216600436845,0.9631078532513078,0.9577560777225426,0.9378086621611748,1.081277361328428,1.1601285429672288,1.1894992666305924,1.1990184144582259,1.4281946146998528,0.7781847639101247,1.163216392367914,0.7850332741186098,1.189041993026222,0.8777349632480154,1.042066544134328,1.1094838834198686,0.7744744348541251,1.0343361988568849,0.9125490690727129,1.3324547885733358,0.5484927371873188,0.6613723195807613,0.5638194874667181,0.8191812429111174,1.6073327222878198,0.5599779239837845,0.9334106886877738,1.315797721922288,1.6483008794616578,1.1282587497038121,1.117075343635522,1.3092305347474673,0.695947292035241,1.2405842903139503,1.195016439170477,0.655523089589466,1.1366767858902904,1.16476290908526,0.5553789938745319,1.5662990790533278,0.9242441439526138,1.1488106866188699,1.2292330124533652,1.0304861686457143,1.7835917499101375,0.7522987306549074,1.0642748241383186,1.306246704442919,1.6628349845190282,1.3468709774434633,1.422898326099024,1.075267752052899,0.9121134120964574,1.3799027901062337,1.073019867964839,1.0883905919566028,0.8454065538820089,0.8012087338883158,0.8230367029440493,1.1461357265346392,1.068155046574537,1.4083961577686592,1.2251857101878416,0.8661819035617129,1.475776376091976,0.6128025596378837,1.1248910431105186,1.1870299768459034,0.8766200387335326,0.43031682150796163,1.0059008492912558,0.6960311747903511,1.0183193888443605,1.3594235397880146,1.3560358966164838,0.9786294760447379,1.2521274930885298,1.635370245379859,0.9596344682378877,0.6308950609988482,0.6288230875540848,0.8266243430904852,1.0003886591941866,1.2134652813861928,0.8291461396642413,1.1788167934551783,1.5423534212493752,0.8862493490283161,0.7218240246770593,0.8595767813005223,1.096136902495819,1.2247297158689503,1.252745478619896,1.4182217612970596,0.844082481393083,1.0898636604613734,0.7848939257403516,1.191890554926936,1.1308424690860495,1.54934907094129,1.1212213063883574,1.5226408172071653,0.9997756783810172,1.0202778045880123,1.0724540774393425,0.9408460711751776,1.1195283229162634,0.8654980892615047,1.896787331717989,1.1776846281476563,1.0263126695173772,0.9762323727517431,1.4178454194874996,1.3044004647008358,1.089753591266492,0.6729581842731903,0.9292596403704954,1.2070656292142177,0.8924998254015484,0.6216510593084381,1.2273560369113237,1.128456205063582,0.87386790167159,1.363054450723542,0.5966156524816195,1.326246659776015,1.3866869295478628,0.7695722145317853,1.288639258699706,0.5642072258920775,0.7796514847276526,1.005576770986852,1.1051155662602308,1.2134237651239448,1.461284189703962,0.5829858537862636,0.8136056814116073,1.0565108816834168,0.9538189807113917,0.9310048858967808,1.129248644598127,1.4670444649137007
Oil,,-0.3044719999131256,-0.05994996841937639,-0.039968804973943,-0.05196198362051957,,-0.034941488580007424,-0.032954517635390874,,,,0.05660597347787425,-0.03319017605497865,,-0.04179763406116477,-0.03298048185877275,0.08051756974162215,,,,-0.019881354055039893,,0.10243126560897453,-0.05253850002572168,-0.19670709328664338,-0.02735936916375191,,0.0784333672857356,0.02649666870582117,-0.06670997615847027,0.026179482915653238,,,,-0.024598496803277244,,0.3843949630966614,,,,-0.026871553855715033,-0.04582505370798412,-0.04369298669922955,,,-0.02954915449163891,-0.04466056500389162,-0.05882344873485984,,,,,-0.022485881310560733,0.0400290158545109,,,,,-0.04092230742404106,,,,0.03894992042581634,-0.025414760656111104,,,-0.043745993747479076,0.11556087132369847,-0.056900735822867546,,-0.12078099861926771,,0.09273420670059394,0.15155673319037308,-0.028023112255225253,-0.029502093657864964,-0.050185460624978626,-0.03425804079532892,,-0.04985329461658847,0.04019758134519387,-0.027614994593275106,-0.06849266938360464,,,-0.036906148798468194,-0.053676162191239885,0.03621903245742335,,-0.03595387644746035,0.30782798989343646,-0.055769516068547714,,,-0.043218365113362966,,,,,0.03515073703315338,-0.028162309652408537,,-0.046469797836653476,0.190589174048996,,-0.24948202655276686,,0.0557441790123842,,-0.07363045844662326,,,-0.02846610070291003,-0.041519189602468934,,,-0.07069797243408452,0.12348436409361786,0.08217840773294935,-0.052973026156706265,-0.0493355941370088,-0.03080343573230717,-0.03451662448102716,,0.4191550861323109,-0.06162545218567529,,-0.045654675953574114,,-0.050125222191548774,,-0.035217212463179284,,0.09049374289764756,0.05125324396681476,0.32476008418711655,-0.041858202562243235,-0.0548353918322885,0.17510539340848663,-0.033709673968882845,-0.03893677746978861,0.053728027521736,-0.02377734975430427,-0.06880997613694496,,-0.03831300195500814,,-0.06018205594022126,,,0.4544128591645038,,,,,-0.04972191088213295,-0.03623934912703913,,0.09743096825609251,,-0.03311142280477037,-0.047207250585362605,,,,-0.03892154372517802,-0.031689324705887284,,-0.03919330592061888,,,,,0.032589582168522126,0.31257043371177573,,,-0.06127271689430133,0.39237842236815634,-0.03689508646102829,-0.04225852156333139,,,-0.04391487509007068,-0.05425742201890964,,-0.03937082663404341,,,-0.0349755810415615,-0.05855285956386416,0.038965815358496754,,-0.08158790297441863,,,-0.05296015878329381,,,,,,-0.0365515218333526,,,-0.0286027080872424,,-0.024892996024091275,-0.04135729131176352,,,-0.026017140069833845,,-0.04715242516926314,-0.033421180362426195,-0.03259391363170526,,-0.017874692929753307,-0.04899020833480693,0.03677455656637536,,,-0.031794197348934704,,,-0.05495153226964011,0.062219597325179704,-0.029141274374600654,-0.06408099628081335,-0.03499262387690668,-0.18221398093470276,0.04713002802115361,,,-0.04795807801445211,,,-0.030766775393422027,,-0.038595466867857045,,,-0.03845673662464717,0.03688703079216903,,-0.0578357343714111,-0.033729453666490355,-0.05703233229275825,,-0.030213441560254302,,,-0.044989337563296435,-0.07088511538432027,0.09894639573253441,,-0.026769771055471236,0.49534421635903825,,-0.033970833299933015,-0.032868473781846805,,,,,-0.04558313292830035,0.04722499978020812,-0.04146573600277407,0.16596769599873007,,,-0.05360179501556495,-0.04775358462828364,0.1402320069961369,0.045514642148393715,,,0.0684735162999381,-0.06206697005466099,-0.04184791586008526,,-0.06393933433691751,,0.3164307425902546,,,-0.07380202881091846,0.24212740540847952,-0.05131163653374649,,-0.035301017176421035,,-0.026444742033651904,-0.029914777110325384,,-0.026404571187466183,-0.041465930463120984,0.05126176286624206,,,,,,,0.08204073525338858,-0.04369384995976293,-0.03702061258583245,,,,-0.05906785180637662,0.072275252369659,0.38391829024252533,,-0.09793664695719495,-0.03268580346727485,-0.045707861070592014,-0.08164445807598111,,-0.03602001875212665,,0.04302675398759792,,0.03487976439464499,-0.04546342159947239,,-0.08292396921173269,-0.029979167429791734,0.03393271844097341,,-0.05275867077672664,,-0.05796029955933584,-0.04440388942938613,0.06329911541376489,,0.23266763219868572,,-0.023968645062902697,-0.04714022827976294,-0.05299668170591219,,,,0.06291089565389987,,,,-0.033064074713175254,-0.029517419707088054,,,,,-0.04365988184823302,,,-0.031728722563981945,-0.06015009693523035,-0.07438216459635322,,,,,-0.034476382100497346,-0.0703492741487732,,-0.0611965537568018,,,,-0.2737907893884784,-0.046800313784763015,,,-0.041310142844418266,,-0.029761194180780833,0.1375425880732926,-0.024060239105663985,,,,,-0.024114767843036452,-0.05502855006155471,,,-0.03412639717671457,,0.029947346340212386,,-0.06221455880540903,,-0.03573159662444493,-0.02375858931069373,,-0.028237816716973077,0.2524438559152196,-0.07608485078370525,-0.027826604940167553,-0.07245315811034944,,,,-0.04241736545956954,0.12789172889720157,-0.03677911080205544,,,0.04937444501306516,0.07316428624508017
Gold,,,,,,,,,,,,,,,,,,,,,,,0.06894276800440952,,,,,,,,,0.07022485253432267,,,,,,,0.049333814760145006,,,,,0.09857499983318527,,0.044762608383479625,,0.06714097243631689,,-0.15451718035835732,,,,,,,-0.05121103544666334,,,,-0.04671360075576211,,,,-0.12291655593309878,,,0.07261989890629528,,0.07558795367558854,,,,,,,-0.06628619014234377,-0.03232887302922827,,,-0.11582217652977773,,,,0.0726340668895781,,,,-0.05757839112798832,,,,,,,,,,,,,,0.060358320294059256,,,,,0.0915017339436265,,,-0.058623336612775266,0.08055250038714522,0.03974243334032558,-0.051132881491159715,,,,0.06231944837226332,,0.08184893481996627,,,,,,,,,,,,,,,0.04782917485444005,,,,,,,0.07499075961514916,,,,,,0.053831114123344764,,0.06759357670285407,0.11699303861616725,,,,,,,-0.09161815304408484,,,,0.04284295844455363,,,,,,,,,,,,,,,-0.0774878671012042,,,,,,-0.1004888340348201,,,,,,,,,,,,,,0.05747848366692628,,,,0.09100997739631082,,,,,,,,,,-0.09408746615671199,,-0.08986067469648325,,,,,,,,,,,,,,-0.08239652867909286,,,,,0.1714635045605065,,,,,,,,,,,,-0.08825005475664016,,,,,,,,,0.0468227662074688,,,,,,-0.09865106159922762,,,,-0.09292270035510487,0.06315743872522167,-0.12632784413123846,,,,0.3110822694455826,,,,,,,,-0.1083396904288144,,,,,0.06299518461167411,,,,,0.08445719462382288,,,,,,,,,,,,,,,,0.061917211867842284,-0.079052242144757,,,,,,-0.05974554428479939,0.043758368124644786,,,,,,,,-0.0884496305629284,,,,,,0.047858586391761895,,,,0.05110100779825514,-0.09031336845054398,,-0.12199126705916045,,,-0.11113108446038575,,,0.039857883378266346,,,,,,-0.08758440350228171,,,,,,,,,0.06884754990287906,,,,,,,,,,,,-0.045917142092741885,,,,,,,,,,,-0.06163180029020721,,,,-0.11206412495414284,,,,,,,-0.06347206532168259,,,,,,,,,-0.09976029164250902,,,,,-0.03831424483031048,,,0.06695989760096308,0.1418439913410889,,,,,,,-0.12548339394369812
NaturalGas,,,,0.025144289537331624,,,,,,,,,-0.010231503103494435,,,,,,,,,,,,,,,,-0.012318863368094159,,,,,,,,,,,0.01502853107285271,,-0.020593768404707127,,,,,,,,,,,,,,,,,,,,,,,,0.015739888790715112,,-0.021340965057224614,,,,,,,,-0.017369923815975404,,,,,,,,-0.040868890136090685,,,,,,,,,,,,,,,,,,-0.019545627516815114,,,,,,,,,,,,,,,,-0.014050087284479183,,,,,,,,,,,,,,,,,-0.01624082397610458,,,0.014087860721991023,0.05612339287634106,,0.01889494914753536,-0.018541686825119377,,,0.027319176471487003,,-0.03118842796423988,,,,-0.04221684884367092,,,,,,,,-0.015801906220352782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.022329315949306178,,,,,,,,,,,,,,,0.014193837878571078,,,0.036072044820972274,,0.022299895695535345,,,,,,0.014196523270889863,,,,,,,-0.01110437141160962,,,,,,,,,,,,-0.025250620932074377,,,,,,,,,,,,,,,,,,,,,-0.021533015693997255,,,,-0.013342698535584943,,,,,,,,,,,,-0.01291248110529276,,,,,,,,,,,,,,,0.015459834852320414,,,,,,,,,,,,,,,,,,,,0.015498349712505778,,,,,-0.00964582457588179,,,,,,,,,,,0.020962309628084902,,,,,,,,,,,,,,,,,,,,,,,
